open,close,high,low,volume,median_prior,stdv_prior,deep_median,deep_stdv,growth,difference,buy,sell
49.056,48.9,49.2,48.83,14381.15933,48.7495,0.17357,48.05733,0.53517,-0.156,-0.154,1,0
48.9,51.791,52.325,48.9,76477.83945,48.86833,0.16396,48.10757,0.56423,2.891,2.891,0,0
51.768,52.44,52.781,51.25,50182.15345,49.39917,1.17927,48.22276,0.78275,0.672,0.649,0,0
52.44,52.326,53.24,52.248,65547.28709,50.47583,1.68759,48.41165,1.11397,-0.114,-0.114,0,0
52.326,51.93,52.604,51.521,24301.50845,51.61083,1.36325,48.61287,1.37155,-0.396,-0.396,0,0
51.93,51.811,52.647,51.55,9426.133378,52.205,0.28507,48.81454,1.5274,-0.119,-0.119,0,0
51.811,52.584,52.61,51.724,5687.254025,52.12717,0.26632,49.00413,1.62328,0.773,0.773,0,0
52.584,52.407,52.9,52.254,9469.035736,52.06533,0.31716,49.20502,1.72132,-0.177,-0.177,0,0
52.463,52.957,52.957,52.2,7563.887532,52.18783,0.37747,49.42165,1.80812,0.494,0.55,0,0
52.952,52.299,52.97,52.253,8737.261148,52.46767,0.37455,49.64402,1.88509,-0.653,-0.658,0,0
52.299,52.397,52.451,52.085,7185.773731,52.61033,0.28199,49.86752,1.92188,0.098,0.098,0,0
52.36,52.318,52.53,52.24,6346.054224,52.56117,0.31096,50.08196,1.91114,-0.042,-0.079,0,0
52.311,52.487,52.5,52.298,5154.019088,52.4375,0.25495,50.28976,1.88467,0.176,0.169,0,0
52.477,52.58,52.701,52.341,13324.5433,52.362,0.07122,50.48107,1.86311,0.103,0.093,0,1
52.612,52.2,52.612,52.125,8741.536666,52.42217,0.10881,50.66222,1.85048,-0.412,-0.38,0,0
52.184,52.23,52.294,51.92,6520.566231,52.4445,0.1593,50.83011,1.82493,0.046,0.03,0,0
52.23,51.498,52.269,51.28,16458.65468,52.3805,0.19827,50.98204,1.78645,-0.732,-0.732,0,0
51.443,51.83,51.94,51.326,6865.371976,52.159,0.36181,51.12591,1.71723,0.387,0.332,0,0
51.83,52.195,52.403,51.674,12095.26386,51.9025,0.36709,51.26057,1.62673,0.365,0.365,0,0
52.195,52.2,52.319,51.861,7176.716349,51.83767,0.33253,51.40954,1.52717,0.005,0.005,0,0
52.2,51.909,52.275,51.843,7307.226823,51.94883,0.30607,51.56626,1.40789,-0.291,-0.291,0,0
51.976,52.774,52.858,51.976,15721.60573,52.08817,0.17123,51.71552,1.25903,0.798,0.865,0,0
52.567,53.6,53.8,52.432,20570.81594,52.209,0.30459,51.873,1.09362,1.033,0.826,0,0
53.66,53.458,54.5,53.426,45796.39762,52.50433,0.63298,52.05602,0.91518,-0.202,-0.142,0,0
53.5,53.19,53.7,53.164,17555.34688,53.00583,0.6771,52.2552,0.6903,-0.31,-0.268,0,0
53.21,53.162,53.61,53.081,12755.5217,53.32917,0.40715,52.38561,0.50797,-0.048,-0.028,0,0
53.173,53.192,53.35,52.808,13694.10569,53.36333,0.20481,52.43265,0.52509,0.019,0.03,0,0
53.192,52.83,53.196,52.4,15520.09619,53.23783,0.1295,52.46741,0.54702,-0.362,-0.362,0,0
52.82,53.101,53.239,52.721,9560.248728,53.1265,0.14621,52.5058,0.55267,0.281,0.271,0,0
53.1,53.09,53.221,52.86,6939.605873,53.05133,0.17852,52.5532,0.54325,-0.01,-0.011,0,0
53.089,52.83,53.197,52,29360.07307,53.02217,0.15717,52.59222,0.54254,-0.259,-0.26,0,0
52.83,52.636,52.93,52.104,7784.57452,53.005,0.13955,52.61239,0.54764,-0.194,-0.194,0,0
52.637,52.823,52.967,52.62,6781.345413,52.92917,0.19298,52.61339,0.54575,0.186,0.187,0,0
52.823,52.359,52.928,52.1,7459.547918,52.8075,0.16672,52.61793,0.54228,-0.464,-0.464,0,0
52.36,52.203,52.627,52.151,8298.525425,52.68467,0.18444,52.6285,0.54132,-0.157,-0.156,0,0
52.24,52.637,52.728,52.154,3520.976257,52.53417,0.26386,52.626,0.54305,0.397,0.434,0,0
52.604,52.251,52.799,52.21,2689.996607,52.437,0.24272,52.62772,0.54367,-0.353,-0.386,0,0
52.251,52.29,52.5,52.06,4522.174848,52.3825,0.19192,52.62333,0.54605,0.039,0.039,0,0
52.288,52.693,53.12,52.288,12636.70451,52.37883,0.18825,52.61743,0.54745,0.405,0.403,0,0
52.693,52.787,53.159,52.68,12122.872,52.39617,0.1982,52.62976,0.54275,0.094,0.094,0,0
52.786,53.048,53.09,52.561,11271.89211,52.50033,0.24816,52.66785,0.51158,0.262,0.261,0,0
53,53.02,53.5,52.698,13991.42937,52.71583,0.24674,52.72352,0.46166,0.02,-0.028,0,0
53.02,52.916,53.15,52.859,7914.294318,52.889,0.15112,52.76689,0.43693,-0.104,-0.104,0,0
52.92,52.782,52.92,52.775,4965.851282,52.965,0.0986,52.80039,0.42103,-0.138,-0.134,0,0
52.775,53.075,53.2,52.75,13270.77198,52.943,0.09196,52.83502,0.3882,0.3,0.293,0,0
53.075,54.406,54.45,53.075,46734.16157,52.91467,0.12161,52.85893,0.36742,1.331,1.331,0,0
